"name","hour","highest_price"
"SHOP","03","1121.59"
"SHOP","01","1117.99"
"SHOP","02","1116.0"
"SHOP","11","1104.3"
"SHOP","12","1101.4"
"SHOP","09","1076.58"
"SHOP","10","1076.5"
"TTD","03","515.53"
"TTD","02","508.67"
"NFLX","02","497.99"
"TTD","01","497.22"
"NFLX","01","496.82"
"NFLX","03","496.67"
"NFLX","12","495.97"
"NFLX","11","495.33"
"TTD","09","494.84"
"TTD","11","494.5"
"NFLX","10","492.27"
"NFLX","09","492.12"
"TTD","12","491.44"
"TTD","10","490.9"
"FB","03","306.84"
"FB","02","306.83"
"FB","12","306.59"
"FB","01","306.46"
"FB","11","305.84"
"FB","10","303.87"
"FB","09","303.86"
"OKTA","01","240.53"
"OKTA","02","239.5"
"OKTA","11","239.23"
"OKTA","12","238.73"
"OKTA","03","238.21"
"OKTA","10","231.82"
"OKTA","09","231.46"
"SQ","01","221.78"
"SQ","12","221.47"
"SQ","02","221.4"
"SQ","03","221.04"
"SQ","11","219.94"
"SQ","09","215.51"
"SQ","10","215.5"
"BYND","02","110.7"
"BYND","03","110.68"
"BYND","01","110.66"
"BYND","12","108.84"
"BYND","11","107.69"
"BYND","10","106.46"
"BYND","09","104.71"
"DDOG","01","79.1"
"DDOG","02","78.88"
"DDOG","03","78.75"
"DDOG","11","78.61"
"DDOG","12","78.57"
"DDOG","10","77.48"
"DDOG","09","77.04"
"PINS","03","60.34"
"PINS","02","60.2"
"PINS","01","60.03"
"PINS","12","59.81"
"PINS","11","59.49"
"PINS","09","58.78"
"PINS","10","58.66"
"SNAP","03","53.65"
"SNAP","02","53.27"
"SNAP","01","52.67"
"SNAP","09","52.64"
"SNAP","10","52.63"
"SNAP","12","52.55"
"SNAP","11","52.25"
